CODE;CITY;COUNTRY;LAT;LON
YLT;ALERT;CANADA;82.518;-62.281
YEU;EUREKA;CANADA;79.995;-85.813
LYR;SVALBARD;NORWAY;78.246;15.466
THU;THULE;GREENLAND;76.531;-68.703
YRB;RESOLUTE;CANADA;74.717;-94.969
YSR;NANISIVIK;CANADA;72.982;-84.614
YIO;POND INLET;CANADA;72.683;-77.967
YSY;SACHS HARBOUR;CANADA;71.994;-125.243
BRW;BARROW;USA;71.285;-156.766
YHI;HOLMAN ISLAND;CANADA;70.763;-117.806
N/A;NERLERIT INAAT;GREENLAND;70.739;-22.646
AIN;FORT WAINWRIGHT;USA;70.613;-159.86
BJF;BATSFJORD;NORWAY;70.6;29.692
OLI;OLIKTOK POINT;USA;70.499;-149.879
HAA;HASVIK;NORWAY;70.487;22.14
YCY;CLYDE RIVER;CANADA;70.486;-68.517
N/A;SVARTNES;NORWAY;70.355;31.045
SCC;DEADHORSE;USA;70.195;-148.465
BTI;BARTER ISLAND;USA;70.134;-143.577
LKL;BANAK;NORWAY;70.069;24.973
ALF;ALTA;NORWAY;69.977;23.366
SOJ;SORKJOSEN;NORWAY;69.787;20.959
PIZ;POINT LAY;USA;69.733;-163.005
KKN;KIRKENES;NORWAY;69.725;29.887
TOS;TROMSO;NORWAY;69.683;18.919
YYH;SPENCE BAY;CANADA;69.547;-93.577
YUB;TUKTOYAKTUK;CANADA;69.433;-133.026
ANX;ANDOYA;NORWAY;69.293;16.144
JAV;JAKOBSHAVN;GREENLAND;69.233;-51.067
YCB;CAMBRIDGE BAY;CANADA;69.108;-105.138
BDU;BARDUFOSS;NORWAY;69.056;18.54
LUR;CAPE LISBURNE;USA;68.875;-166.11
MMK;MURMANSK;RUSSIA;68.782;32.751
YUX;HALL BEACH;CANADA;68.776;-81.244
YHK;GJOA HAVEN;CANADA;68.636;-95.85
IVL;IVALO;FINLAND;68.607;27.405
YBB;PELLY BAY;CANADA;68.534;-89.808
EVE;EVENES;NORWAY;68.491;16.678
ENF;ENONTEKIO;FINLAND;68.362;23.424
YEV;INUVIK;CANADA;68.304;-133.483
KRN;KIRUNA;SWEDEN;67.822;20.337
YCO;COPPERMINE;CANADA;67.817;-115.144
N/A;KALIXFORS;SWEDEN;67.765;20.257
KTT;KITTILA;FINLAND;67.701;24.847
YOC;OLD CROW;CANADA;67.571;-139.839
YVM;BROUGHTON ISLAND;CANADA;67.546;-64.031
N/A;PEVEK;RUSSIA;67.5;171
ZFM;FORT MCPHERSON;CANADA;67.408;-134.86
SOT;SODANKYLA;FINLAND;67.395;26.619
BOO;BODOE;NORWAY;67.269;14.363
GEV;GALLIVARE;SWEDEN;67.132;20.814
SFJ;SONDRESTROM;GREENLAND;67.017;-50.689
BTT;BETTLES;USA;66.915;-151.528
OTZ;KOTZEBUE;USA;66.884;-162.598
N/A;KEMIJARVI;FINLAND;66.713;27.157
N/A;SALEKHARD;RUSSIA;66.59;66.61
FYU;FORT YUKON;USA;66.571;-145.25
RVN;ROVANIEMI;FINLAND;66.565;25.83
YUT;REPULSE BAY;CANADA;66.521;-86.225
N/A;JOKKMOKK;SWEDEN;66.496;20.147
N/A;POLYARNY;RUSSIA;66.417;112.05
OPA;KOPASKER;ICELAND;66.314;-16.461
YXP;PANGNIRTUNG;CANADA;66.145;-65.714
SIJ;SIGLUFJORDUR;ICELAND;66.133;-18.917
IFJ;ISAFJORDUR;ICELAND;66.058;-23.135
UTO;INDIAN MOUNTAINS;USA;65.993;-153.704
KAO;KUUSAMO;FINLAND;65.987;29.239
SSJ;SANDNESSJOEN;NORWAY;65.957;12.469
HZK;HUSAVIK;ICELAND;65.952;-17.426
N/A;VIDSEL;SWEDEN;65.875;20.15
N/A;HEDEN;SWEDEN;65.836;21.471
N/A;HEMAVAN;SWEDEN;65.806;15.083
MJF;MOSJOEN;NORWAY;65.784;13.215
KEM;KEMI;FINLAND;65.782;24.599
AEY;AKUREYRI;ICELAND;65.66;-18.072
AJR;ARVIDSJAUR;SWEDEN;65.59;19.282
KUS;KULUSUK;GREENLAND;65.583;-37.15
TNC;TIN CITY;USA;65.563;-167.922
PFJ;PATREKSFJORDUR;ICELAND;65.556;-23.965
LLA;LULEA;SWEDEN;65.544;22.122
BNN;BRONNOYSUND;NORWAY;65.459;12.214
N/A;PUDASJARVI;FINLAND;65.402;26.947
N/A;PITEA;SWEDEN;65.399;21.265
EGS;EGILSSTADIR;ICELAND;65.283;-14.401
YVQ;NORMAN WELLS;CANADA;65.282;-126.8
TAL;TANANA;USA;65.174;-152.109
N/A;FALLFORS;SWEDEN;65.106;20.761
N/A;MOHED;SWEDEN;64.961;17.696
OUL;OULU;FINLAND;64.93;25.354
FBK;FORT WAINWRIGHT;USA;64.837;-147.614
FAI;FAIRBANKS;USA;64.815;-147.856
GAL;GALENA;USA;64.736;-156.937
N/A;ANADYR;RUSSIA;64.735;177.741
N/A;PATTIJOKI;FINLAND;64.688;24.696
EIL;FAIRBANKS;USA;64.666;-147.101
SFT;SKELLEFTEA;SWEDEN;64.625;21.077
VHM;VILHELMINA;SWEDEN;64.579;16.833
N/A;AMSELE;SWEDEN;64.571;19.314
LYC;LYCKSELE;SWEDEN;64.548;18.716
OME;NOME;USA;64.512;-165.445
PVS;PROVIDENIYA BAY;RUSSIA;64.38;-173.247
N/A;CLEAR MEWS;USA;64.301;-149.12
YBK;BAKER LAKE;CANADA;64.299;-96.078
HFN;HOFN;ICELAND;64.296;-15.227
KAJ;KAJAANI;FINLAND;64.285;27.692
YTE;CAPE DORSET;CANADA;64.23;-76.527
GOH;GODTHAAB;GREENLAND;64.191;-51.678
RKV;REYKJAVIK;ICELAND;64.13;-21.941
N/A;YLIVIESKA-RAUDASKYLA;FINLAND;64.06;24.716
YDA;DAWSON;CANADA;64.043;-139.128
BIG;DELTA JUNCTION;USA;63.994;-145.721
KEF;KEFLAVIK;ICELAND;63.985;-22.606
UNK;UNALAKLEET;USA;63.888;-160.799
UME;UMEA;SWEDEN;63.792;20.282
YFB;IQALUIT;CANADA;63.756;-68.556
N/A;HALLVIKEN;SWEDEN;63.738;15.458
N/A;PYHASALMI;FINLAND;63.732;25.926
KOK;KRUUNUPYY;FINLAND;63.721;23.143
OLA;ORLAND;NORWAY;63.699;9.604
N/A;KUBBE;SWEDEN;63.634;17.94
YMA;MAYO;CANADA;63.617;-135.867
TRD;TRONDHEIM;NORWAY;63.458;Okt 94
VEY;VESTMANNAEYJAR;ICELAND;63.424;-20.279
OER;ORNSKOLDSVIK;SWEDEN;63.408;18.99
YWY;WRIGLEY;CANADA;63.209;-123.437
OSD;OSTERSUND;SWEDEN;63.194;14.502
N/A;OPTAND;SWEDEN;63.129;14.803
KAU;KAUHAVA;FINLAND;63.127;23.051
KSU;KRISTIANSUND;NORWAY;63.112;7.824
VAA;VAASA;FINLAND;63.051;21.761
KRF;KRAMFORS;SWEDEN;63.048;17.769
KUO;KUOPIO;FINLAND;63.007;27.798
ORT;NORTHWAY;USA;62.961;-141.929
MCG;MCGRATH;USA;62.953;-155.606
N/A;MENKIJARVI;FINLAND;62.947;23.519
TLJ;TATALINA;USA;62.894;-155.976
YRT;RANKIN INLET;CANADA;62.811;-92.116
MOL;MOLDE;NORWAY;62.746;7.272
JOE;JOENSUU;FINLAND;62.659;29.624
RRS;ROROS;NORWAY;62.578;11.342
AES;ALESUND;NORWAY;62.56;06. Nov
SDL;SUNDSVALL;SWEDEN;62.528;17.444
N/A;SATTNA;SWEDEN;62.481;17.003
YZF;YELLOWKNIFE;CANADA;62.463;-114.44
N/A;KAUHAJOKI;FINLAND;62.463;22.393
N/A;HEDE;SWEDEN;62.409;13.747
JYV;JYVASKYLA;FINLAND;62.399;25.678
TKA;TALKEETNA;USA;62.32;-150.094
ZFA;FARO;CANADA;62.208;-133.376
VRK;VARKAUS;FINLAND;62.171;27.869
N/A;KITEE;FINLAND;62.166;30.074
GKN;GULKANA;USA;62.155;-145.456
YKS;YAKUTSK;RUSSIA;62.093;129.771
N/A;RANTASALMI;FINLAND;62.065;28.356
FAE;VAGAR;FAROE ISL.;62.064;-7.277
EVG;SVEG;SWEDEN;62.048;14.423
SVL;SAVONLINNA;FINLAND;61.943;28.945
N/A;FARILA;SWEDEN;61.898;15.705
N/A;IDRE;SWEDEN;61.869;12.691
KEV;HALLI;FINLAND;61.856;24.786
N/A;CAPE ROMANZOF;USA;61.78;-166.039
N/A;TEISKO;FINLAND;61.773;24.027
HUV;HUDIKSVALL;SWEDEN;61.768;17.081
YFS;FORT SIMPSON;CANADA;61.76;-121.237
N/A;HAMEENKYRO;FINLAND;61.689;23.074
MIK;MIKKELI;FINLAND;61.686;27.202
SCW;SYKTYVKAR;RUSSIA;61.648;50.846
PAQ;PALMER;USA;61.595;-149.089
FRO;FLORO;NORWAY;61.584;5.025
POR;PORI;FINLAND;61.462;21. Aug
TMP;TAMPERE;FINLAND;61.414;23.604
N/A;FORDE;NORWAY;61.392;5.764
YDB;BURWASH;CANADA;61.371;-139.041
N/A;FORT RICHARDSON;USA;61.266;-149.653
EDF;ANCHORAGE;USA;61.251;-149.806
SGC;SURGUT;RUSSIA;61.25;73.5
N/A;IMMOLA;FINLAND;61.249;28.904
N/A;PIIKAJARVI;FINLAND;61.246;22.193
MRI;ANCHORAGE;USA;61.214;-149.846
N/A;ORSA;SWEDEN;61.19;14.712
YFR;FORT RESOLUTION;CANADA;61.181;-113.69
ANC;ANCHORAGE;USA;61.174;-149.996
UAK;NARSSARSSUAQ;GREENLAND;61.161;-45.427
SOG;SOGNDAL;NORWAY;61.156;7.136
N/A;VESIVEHMAA;FINLAND;61.144;25.693
VDZ;VALDEZ;USA;61.134;-146.248
N/A;EURA;FINLAND;61.116;22.201
SVW;SPARREVOHN;USA;61.097;-155.574
YEK;ESKIMO POINT;CANADA;61.094;-94.071
N/A;SELANPAA;FINLAND;61.062;26.799
LPP;LAPPEENRANTA;FINLAND;61.044;28.144
VDB;FAGERNES;NORWAY;61.011;9.293
MXX;MORA;SWEDEN;60.958;14.511
NJC;NIZHNEVARTOVSK;RUSSIA;60.95;76.467
QVY;UTTI;FINLAND;60.896;26.938
YHY;HAY RIVER;CANADA;60.84;-115.783
HMR;HAMAR;NORWAY;60.818;11.067
BET;BETHEL;USA;60.78;-161.838
N/A;RAYSKALA;FINLAND;60.745;24.108
YXY;WHITEHORSE;CANADA;60.709;-135.068
N/A;HYVINKAA;FINLAND;60.654;24.881
N/A;BOMOEN;NORWAY;60.639;6.501
GVX;GAVLE;SWEDEN;60.593;16.951
ENA;KENAI;USA;60.573;-151.245
TKU;TURKU;FINLAND;60.514;22.263
CDV;CORDOVA;USA;60.492;-145.477
N/A;KIKALA;FINLAND;60.463;23.652
