CODE;CITY;COUNTRY;LAT;LON
LYR;SVALBARD;NORWAY;78.246;15.47
BJF;BATSFJORD;NORWAY;70.600;29.69
N/A;SVARTNES;NORWAY;70.355;31.05
LKL;BANAK;NORWAY;70.069;24.97
ALF;ALTA;NORWAY;69.977;23.37
SOJ;SORKJOSEN;NORWAY;69.787;20.96
KKN;KIRKENES;NORWAY;69.725;29.89
TOS;TROMSO;NORWAY;69.683;18.92
ANX;ANDOYA;NORWAY;69.293;16.14
MMK;MURMANSK;RUSSIA;68.782;32.75
IVL;IVALO;FINLAND;68.607;27.41
EVE;EVENES;NORWAY;68.491;16.68
ENF;ENONTEKIO;FINLAND;68.362;23.42
KRN;KIRUNA;SWEDEN;67.822;20.34
N/A;KALIXFORS;SWEDEN;67.765;20.26
KTT;KITTILA;FINLAND;67.701;24.85
N/A;PEVEK;RUSSIA;67.500;171.00
SOT;SODANKYLA;FINLAND;67.395;26.62
BOO;BODOE;NORWAY;67.269;14.36
GEV;GALLIVARE;SWEDEN;67.132;20.81
N/A;KEMIJARVI;FINLAND;66.713;27.16
N/A;JOKKMOKK;SWEDEN;66.496;20.15
KAO;KUUSAMO;FINLAND;65.987;29.24
SSJ;SANDNESSJOEN;NORWAY;65.957;12.47
N/A;HEDEN;SWEDEN;65.836;21.47
N/A;HEMAVAN;SWEDEN;65.806;15.08
MJF;MOSJOEN;NORWAY;65.784;13.22
KEM;KEMI;FINLAND;65.782;24.60
AJR;ARVIDSJAUR;SWEDEN;65.590;19.28
LLA;LULEA;SWEDEN;65.544;22.12
BNN;BRONNOYSUND;NORWAY;65.459;12.21
N/A;PUDASJARVI;FINLAND;65.402;26.95
N/A;PITEA;SWEDEN;65.399;21.27
N/A;FALLFORS;SWEDEN;65.106;20.76
N/A;MOHED;SWEDEN;64.961;17.70
OUL;OULU;FINLAND;64.930;25.35
N/A;ANADYR;RUSSIA;64.735;177.74
N/A;PATTIJOKI;FINLAND;64.688;24.70
SFT;SKELLEFTEA;SWEDEN;64.625;21.08
VHM;VILHELMINA;SWEDEN;64.579;16.83
N/A;AMSELE;SWEDEN;64.571;19.31
LYC;LYCKSELE;SWEDEN;64.548;18.72
KAJ;KAJAANI;FINLAND;64.285;27.69
N/A;YLIVIESKA-RAUDASKYLA;FINLAND;64.060;24.72
UME;UMEA;SWEDEN;63.792;20.28
N/A;HALLVIKEN;SWEDEN;63.738;15.46
N/A;PYHASALMI;FINLAND;63.732;25.93
KOK;KRUUNUPYY;FINLAND;63.721;23.14
OLA;ORLAND;NORWAY;63.699;9.60
TRD;TRONDHEIM;NORWAY;63.458;34608.00
OSD;OSTERSUND;SWEDEN;63.194;14.50
N/A;OPTAND;SWEDEN;63.129;14.80
KAU;KAUHAVA;FINLAND;63.127;23.05
KSU;KRISTIANSUND;NORWAY;63.112;7.82
VAA;VAASA;FINLAND;63.051;21.76
KRF;KRAMFORS;SWEDEN;63.048;17.77
KUO;KUOPIO;FINLAND;63.007;27.80
N/A;MENKIJARVI;FINLAND;62.947;23.52
MOL;MOLDE;NORWAY;62.746;7.27
JOE;JOENSUU;FINLAND;62.659;29.62
RRS;ROROS;NORWAY;62.578;11.34
AES;ALESUND;NORWAY;62.560;44871.00
SDL;SUNDSVALL;SWEDEN;62.528;17.44
N/A;SATTNA;SWEDEN;62.481;17.00
N/A;HEDE;SWEDEN;62.409;13.75
JYV;JYVASKYLA;FINLAND;62.399;25.68
VRK;VARKAUS;FINLAND;62.171;27.87
N/A;KITEE;FINLAND;62.166;30.07
YKS;YAKUTSK;RUSSIA;62.093;129.77
N/A;RANTASALMI;FINLAND;62.065;28.36
EVG;SVEG;SWEDEN;62.048;14.42
SVL;SAVONLINNA;FINLAND;61.943;28.95
