CODE;CITY;COUNTRY;LAT;LON
MDY;MIDWAY;MIDWAY ISLAND;28.2010;-177.3810
ADK;ADAK ISLAND;USA;51.8780;-176.6460
CHT;CHATHAM ISLAND;NEW ZEALAND;-43.8100;-176.4570
WLS;WALLIS;WALLIS & FUTUNA;-13.2380;-176.1990
HPA;HA'APAI;TONGA;-19.7770;-174.3410
VAV;VAVA'U;TONGA;-18.5850;-173.9630
PVS;PROVIDENIYA BAY;RUSSIA;64.3800;-173.2470
APW;FALEOLO;SAMOA;-13.8300;-172.0080
HUE;ALOFI;NEW ZEALAND;-19.0800;-169.9260
N/A;POINT BARROW;USA;56.5780;-169.6610
JON;JOHNSTON ISLAND;JOHNSTON ATOLL;16.7290;-169.5340
TNC;TIN CITY;USA;65.5630;-167.9220
DUT;UNALASKA;USA;53.9000;-166.5430
N/A;CAPE ROMANZOF;USA;61.7800;-166.0390
OME;NOME;USA;64.5120;-165.4450
PIZ;POINT LAY;USA;69.7330;-163.0050
CDB;COLD BAY;USA;55.2060;-162.7240
OTZ;KOTZEBUE;USA;66.8840;-162.5980
EHM;CAPE NEWENHAM;USA;58.6470;-162.0610
BET;BETHEL;USA;60.7800;-161.8380
PML;PORT MOLLER;USA;59.0110;-161.8190
UNK;UNALAKLEET;USA;63.8880;-160.7990
RAR;AVARUA;COOK ISLANDS;-21.2030;-159.8060
BKH;BARKING SANDS;USA;22.0220;-159.7870
AIT;AITUTAKI;COOK ISLANDS;-18.8250;-159.7740
LIH;LIHUE;USA;21.9760;-159.3390
DLG;DILLINGHAM;USA;59.0450;-158.5030
N/A;WHEELER AFB.;USA;21.4830;-158.0390
HNL;HONOLULU;USA;21.3160;-157.9270
NGF;KANEOHE BAY;USA;21.4490;-157.7680
MKK;MOLOKAI;USA;21.1530;-157.0960
LNY;LANAI;USA;20.7860;-156.9510
GAL;GALENA;USA;64.7360;-156.9370
BRW;BARROW;USA;71.2850;-156.7660
JHM;LAHANIA-KAPALUA;USA;20.9630;-156.6740
AKN;KING SALMON;USA;58.6770;-156.6490
OGG;KAHULUI;USA;20.8990;-156.4310
KOA;KONA;USA;19.7390;-156.0460
HNM;HANA;USA;20.7960;-156.0140
TLJ;TATALINA;USA;62.8940;-155.9760
