"NAN_ART_ID","WG_2_ID","WG_2_TXT","WG_3_ID","WG_3_TXT","WG_4_ID","WG_4_TXT"
108394645,117,GEMUESE/KARTOFFELN              ,1174,BLATTSALATE                     ,11744,BUNTE SALATE                    
101200085,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1145,FISCH GEKUEHLT - SB -           ,11455,FISCHFEINKOST - SB -            
107191733,134,BROTAUFSTRICH/FERTIGSAUCEN      ,1341,FRUCHTBROTAUFSTRICHE            ,13411,KONFITUEREN/MARMELADEN/GELEES   
108793589,167,"STRICK-UND STRUMPFWAREN,HEMDEN  ",1678,DA- U. HE-SPORTBEKLEIDUNG       ,16789,SPORTBEKLEIDUNG MARKE ROADSIGN  
100965461,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1464,LIMONADEN                       ,14644,"LIMONADEN,PACKUNG/PET EW        "
108691093,115,CONVENIENCE                     ,1158,SOFORTV. SNACKS                 ,11586,SOFORTV. SUSHI-SB               
105223733,128,"BACKARTIKEL,PUDDING             ",1282,"FERTIGTEIG,BACKMISCHUNGEN       ",12821,BACKMISCHUNGEN                  
108832181,157,MUNDPFLEGEMITTEL                ,1571,ZAHNCREME                       ,15711,ZAHNCREME                       
103546549,117,GEMUESE/KARTOFFELN              ,1178,FEIN- UND STENGELGEMÜSE         ,11786,KRÄUTER                         
107737461,123,TK-FERTIGGERICHTE/TK-O+G        ,1232,"TK-PIZZEN,BAGUETTES,QUICHES     ",12321,TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE 
102273013,147,"SAEFTE,NEKTARE U. FRUCHTSAFTGE  ",1473,"MEHRFRUCHTSAEFTE, NEKTARE ETC.  ",14732,MEHRFRUCHTSAEF.FL.EW GLAS/PET   
109240853,127,NAEHRMITTEL                     ,1274,REIS/SÄTTIGUNGSBEILA.AUS GETREID,12742,REIS IM KOCHBEUTEL              
104225112,148,SEKT U. SCHAUMWEIN              ,1481,SEKT U. SCHAUMWEIN              ,14814,SEKT U. SCHAUMWEIN SPANIEN      
108448853,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1335,FEINKOST NICHT GEKUEHLT V-MWST  ,13353,ASIA-/CHILISAUCE                
101102357,119,EIER                            ,1193,"EIER, PACKUNG BODENHALTUNG      ",11931,"EIER, PACKUNG BODENHALTUNG      "
108056469,121,MILCH UND MOLKEREIPRODUKTE      ,1218,JOGHURT                         ,12182,FRUCHTJOGHURT EINWEG            
101966933,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1334,FEINKOST NICHT GEKUEHLT E-MWST  ,13344,SPEZIALITAETEN/EXOTEN           
100099413,154,PUTZ- UND REINIGUNGSMITTEL      ,1545,HAUSHALTSPFLEGE/SPEZIALREINIGE  ,15454,METALLPFLEGE/ENTKALKER          
104840917,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1333,"KETCHUP,FERTIGSAUCEN            ",13331,GRILLSAUCEN UND DIPS GLAS       
