lat;lon;CODE;CITY;COUNTRY;MONTH;AVG_TEMP;PRCP;TSUN
-90;0;N/A;STEPHEN'S ISLAND;NEW ZEALAND;Januar;-27.74;0;0
-90;0;N/A;STEPHEN'S ISLAND;NEW ZEALAND;August;-60.71;0;0
-90;0;N/A;STEPHEN'S ISLAND;NEW ZEALAND;September;-59.26;0;3540
-90;0;N/A;STEPHEN'S ISLAND;NEW ZEALAND;Oktober;-49.72;0;0
-41.74;171.58;WSZ;WESTPORT;NEW ZEALAND;Januar;16.2;0;0
-40.32;175.62;PMR;PALMERSTON NORTH;NEW ZEALAND;Januar;17.4;0;0
-40.21;175.39;N/A;OHAKEA;NEW ZEALAND;Januar;17.4;0;0
-39.65;176.77;N/A;HASTINGS;NEW ZEALAND;Januar;19.5;0;0
-39.45;175.66;N/A;WAIOURU;NEW ZEALAND;Januar;13.7;0;0
-34.91;-54.92;PDP;PUNTA DEL ESTE;URUGUAY;Januar;22.5;0;0
-34.86;-55.09;N/A;MALDONADO;URUGUAY;Januar;22.5;0;0
-34.56;20.25;N/A;OVERBERG;SOUTH AFRICA;Januar;20.9;0;0
-33.81;19.9;N/A;ROBERTSON;SOUTH AFRICA;Januar;23.28;0;0
-32.08;-52.17;RIG;RIO GRANDE;BRAZIL;Januar;24.67;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Januar;24.8;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Februar;23.97;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Maerz;23.3;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;April;20.63;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Mai;16.53;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Juni;15.23;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Juli;12.67;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;August;14.08;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;September;16.3;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Oktober;18.48;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;November;21.1;0;0
-31.72;-52.33;PET;PELOTAS;BRAZIL;Dezember;22.93;0;0
-28.73;-49.43;N/A;CRICIUMA;BRAZIL;Januar;24;0;0
-28.26;22.99;N/A;TOMMY'S FIELD;SOUTH AFRICA;Juli;10.44;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Januar;22.7;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Februar;23;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Maerz;20.15;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;April;17.55;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Mai;14.2;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Juni;12.9;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Juli;12.1;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;August;13.95;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;September;16.43;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Oktober;18.33;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;November;19.45;0;0
-27.78;-50.28;N/A;LAJES;BRAZIL;Dezember;21.37;0;0
-26.88;-48.65;NVT;NAVEGANTES;BRAZIL;Januar;25.3;0;0
-26.18;26.18;N/A;LICHTENBURG;SOUTH AFRICA;Juli;10.22;0;0
-26.08;27.73;N/A;KRUGERSDORP;SOUTH AFRICA;Januar;22.1;0;0
-25.94;27.93;HLA;JOHANNESBURG;SOUTH AFRICA;Januar;22.1;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Januar;26.83;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Februar;25.5;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Maerz;25.13;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;April;20.93;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Mai;16.87;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Juni;13.73;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Juli;12.93;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;August;16.63;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;September;20.98;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Oktober;24.13;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;November;26.73;0;0
-25.85;23.54;N/A;POMFRET;SOUTH AFRICA;Dezember;26.15;0;0
-25.18;-50.14;N/A;PONTA GROSSA;BRAZIL;Juni;16.1;0;0
-25.18;-50.14;N/A;PONTA GROSSA;BRAZIL;Juli;14.63;0;0
-24.56;25.92;GBE;GABERONE;BOTSWANA;Juli;13.55;0;0
-24.56;25.92;GBE;GABERONE;BOTSWANA;August;17;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Januar;23.23;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Februar;22.5;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Maerz;21.9;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;April;19.53;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Mai;16.87;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Juni;14.5;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Juli;14.53;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;August;17.63;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;September;19.7;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Oktober;20.93;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;November;23.15;0;0
-23.94;31.16;PHW;PHALABORWA;SOUTH AFRICA;Dezember;23.73;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Januar;25.17;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Februar;25.13;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Maerz;25.2;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;April;23.23;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Mai;20.37;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Juni;19.73;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Juli;18.53;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;August;20.35;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;September;24.4;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Oktober;23.67;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;November;25.5;0;0
-23.44;-51.91;MGF;MARINGA;BRAZIL;Dezember;25.4;0;0
-22.81;-42.09;N/A;SAO PEDRO DA ALDEIA;BRAZIL;Januar;26.2;0;0
-22.35;-49.05;BAU;BAURU;BRAZIL;Januar;25.02;0;0
-22.01;166.21;NOU;NOUMEA;NEW CALEDONIA;Januar;25.25;0;0
-21.75;43.38;MXM;MOROMBE;MADAGASCAR;Juli;23.1;0;0
-21.75;43.38;MXM;MOROMBE;MADAGASCAR;September;25.1;0;0
-21.59;-45.47;VAG;VARGINHA;BRAZIL;Januar;22.7;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Januar;26.37;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Februar;26.48;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Maerz;26.26;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;April;25.1;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Mai;23.4;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Juni;22.22;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Juli;21.47;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;August;21.48;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;September;22.27;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;Oktober;23.64;0;0
-21.32;55.43;ZSE;ST.-PIERRE;REUNION ISLAND;November;25.06;0;0
