lat;lon;CODE;CITY;COUNTRY;AVG_TEMP;MONTH
36.82;7.81;AAE;ANNABA;ALGERIA;11.18;Januar
50.82;6.19;AAH;AACHEN;GERMANY;3.4;Januar
57.09;9.85;AAL;AALBORG;DENMARK;1.28;Januar
56.3;10.62;AAR;AARHUS;DENMARK;1.87;Januar
53.74;91.39;ABA;ABAKAN;RUSSIA;-18.23;Januar
30.37;48.23;ABD;ABADAN;IRAN;12.98;Januar
32.41;-99.68;ABI;ABILENE;USA;7.38;Januar
35.04;-106.61;ABQ;KIRTLAND A.F.B.;USA;3.1;Januar
22.38;31.61;ABS;ABU SIMBEL;EGYPT;17.9;Januar
-36.07;146.96;ABX;ALBURY;AUSTRALIA;25;Januar
57.2;-2.2;ABZ;ABERDEEN;UK;3.91;Januar
16.76;-99.75;ACA;ACAPULCO;MEXICO;26.31;Januar
5.6;-0.17;ACC;ACCRA;GHANA;28.17;Januar
28.95;-13.61;ACE;LANZEROTE;CANARY ISLANDS;17.53;Januar
47.49;9.56;ACH;ALTENRHEIN;SWITZERLAND;0.24;Januar
41.25;-70.06;ACK;NANTUCKET;USA;1.01;Januar
31.61;-97.23;ACT;WACO;USA;8.77;Januar
36.98;35.28;ADA;ADANA;TURKEY;9.54;Januar
37;35.43;ADA;ADANA;TURKEY;8.11;Januar
38.29;27.16;ADB;IZMIR;TURKEY;8.36;Januar
8.98;38.8;ADD;ADDIS ABABA;ETHIOPIA;16.52;Januar
34.8;-96.67;ADH;ALDAN;RUSSIA;4.98;Januar
31.97;35.99;ADJ;AMMAN;JORDAN;7.94;Januar
51.88;-176.65;ADK;ADAK ISLAND;USA;0.09;Januar
-34.95;138.53;ADL;ADELAIDE;AUSTRALIA;22.37;Januar
34.3;-97.02;ADM;ARDMORE;USA;5.7;Januar
57.75;-152.49;ADQ;KODIAK;USA;-0.52;Januar
38.81;-76.87;ADW;CAMP SPRINGS;USA;2.49;Januar
56.37;-2.87;ADX;LEUCHARS;UK;3.87;Januar
12.58;-81.71;ADZ;SAN ANDRES ISLAND;COLOMBIA;26.92;Januar
13.85;20.84;AEH;ABECHE;CHAD;27.97;Januar
-34.56;-58.42;AEP;BUENOS AIRES;ARGENTINA;24.6;Januar
31.33;-92.55;AEX;ALEXANDRIA;USA;8.75;Januar
