lat;lon;month;tavg
-90;0;Januar;-27.74375
-90;0;Februar;-40.5125
-90;0;Maerz;-52.92142857
-90;0;April;-57.44375
-90;0;Mai;-56.77333333
-90;0;Juni;-58.06875
-90;0;Juli;-59.42142857
-90;0;August;-60.70833333
-90;0;September;-59.25625
-90;0;Oktober;-49.71538462
-90;0;November;-36.94
-90;0;Dezember;-26.93888889
-77.88;166.65;Januar;-3.935294118
-77.88;166.65;Februar;-10.22857143
-77.88;166.65;Maerz;-19.9375
-77.88;166.65;April;-24.00526316
-77.88;166.65;Mai;-26.48333333
-77.88;166.65;Juni;-25.975
-77.88;166.65;Juli;-27.21176471
-77.88;166.65;August;-30.28235294
-77.88;166.65;September;-26.81111111
-77.88;166.65;Oktober;-19.67058824
-77.88;166.65;November;-9.615789474
-77.88;166.65;Dezember;-3.394444444
-64.238;-56.631;Januar;-0.766666667
-64.238;-56.631;Februar;-1.661290323
-64.238;-56.631;Maerz;-5.356666667
-64.238;-56.631;April;-9.793333333
-64.238;-56.631;Mai;-11.63870968
-64.238;-56.631;Juni;-14.77419355
-64.238;-56.631;Juli;-14.94516129
-64.238;-56.631;August;-13.78666667
-64.238;-56.631;September;-10.39032258
-64.238;-56.631;Oktober;-7.312903226
-64.238;-56.631;November;-3.386206897
-64.238;-56.631;Dezember;-1.12
-62.191;-58.987;Januar;1.570967742
-62.191;-58.987;Februar;1.635483871
-62.191;-58.987;Maerz;0.603225806
-62.191;-58.987;April;-1.364516129
-62.191;-58.987;Mai;-2.922580645
-62.191;-58.987;Juni;-5.032258065
-62.191;-58.987;Juli;-5.906451613
-62.191;-58.987;August;-5.583870968
-62.191;-58.987;September;-4.223333333
-62.191;-58.987;Oktober;-2.525806452
-62.191;-58.987;November;-1.012903226
-62.191;-58.987;Dezember;0.356666667
-54.931;-67.626;August;2.6
-54.931;-67.626;Oktober;5.9
-54.931;-67.626;November;7.5
-54.931;-67.626;Dezember;9.9
-54.843;-68.296;Januar;9.63
-54.843;-68.296;Februar;9.473333333
-54.843;-68.296;Maerz;8.346666667
-54.843;-68.296;April;6.21
-54.843;-68.296;Mai;4.293333333
-54.843;-68.296;Juni;2.158064516
